stress,sleep,sentiment,stress_category
6,5.0,-0.18,Moderate
3,4.6,0.1,Moderate
10,6.0,-0.49,High
7,7.2,-0.61,Moderate
4,5.1,0.01,Moderate
6,8.6,0.19,Low
9,3.2,-0.32,High
2,5.5,0.14,Low
6,8.8,0.77,Low
10,6.3,0.11,High
10,5.5,0.44,High
7,6.4,0.61,Moderate
4,6.5,0.98,Low
3,7.4,0.21,Low
7,3.8,0.61,Moderate
7,4.5,0.93,Moderate
2,6.5,0.89,Low
5,8.2,-0.72,Moderate
4,6.4,-0.19,Low
1,4.4,-0.35,Low
7,7.1,-0.83,High
5,7.4,0.27,Low
1,4.4,0.47,Low
4,5.3,0.7,Low
0,6.2,-0.75,Low
9,6.0,0.75,Moderate
5,5.3,0.29,Moderate
8,4.8,0.41,High
0,3.6,0.82,Low
10,3.3,0.25,High
10,8.8,-0.33,High
9,8.1,0.65,Moderate
2,5.1,-0.27,Low
6,8.7,-0.93,Moderate
3,7.1,0.66,Low
8,5.9,-0.31,High
2,6.0,0.55,Low
4,3.5,-0.27,Moderate
2,3.6,0.72,Low
6,6.6,-0.56,Moderate
4,6.3,0.95,Low
8,4.3,0.56,Moderate
6,8.7,-0.77,Moderate
1,7.7,0.13,Low
3,3.7,0.97,Low
8,8.6,-0.06,Moderate
1,8.8,-0.64,Low
9,9.0,-0.03,Moderate
8,3.3,0.02,High
9,7.4,0.48,Moderate
4,6.3,0.4,Low
1,7.2,-0.19,Low
3,8.8,-0.56,Low
6,7.1,0.29,Low
7,8.0,-0.16,Moderate
2,8.2,-0.74,Low
0,8.0,0.8,Low
3,5.6,0.38,Low
1,4.3,0.37,Low
7,5.4,0.65,Moderate
3,8.4,0.06,Low
1,3.9,0.63,Low
5,6.1,-0.0,Moderate
5,4.4,-0.87,High
9,6.5,-0.19,High
3,8.2,-0.01,Low
5,8.3,0.44,Low
1,4.4,-0.79,Moderate
9,8.4,-0.72,High
1,6.6,-0.47,Low
9,5.1,-0.47,High
3,7.2,0.46,Low
7,5.9,-0.5,High
6,5.3,0.27,Moderate
8,7.2,-0.01,Moderate
7,4.5,0.15,High
4,5.0,0.68,Low
1,5.6,-0.19,Low
4,4.5,0.54,Moderate
7,5.4,-0.16,High
9,6.4,-0.29,High
8,7.4,0.92,Moderate
8,7.6,-0.63,High
0,7.9,-0.82,Low
8,7.5,0.54,Moderate
6,7.1,-0.86,Moderate
8,4.4,0.67,Moderate
7,5.4,-0.13,High
0,5.9,0.83,Low
7,3.5,0.44,High
7,6.2,0.22,Moderate
10,5.6,0.9,Moderate
2,7.8,-0.21,Low
0,8.9,0.91,Low
7,6.3,-0.73,High
2,4.9,-0.03,Low
2,3.3,-0.46,Moderate
0,8.5,0.08,Low
10,8.5,-0.68,High
4,4.5,0.68,Low
9,7.2,0.69,Moderate
6,3.5,0.91,Moderate
9,4.0,-0.69,High
8,4.3,0.25,High
6,4.8,-0.05,Moderate
8,9.0,-0.31,Moderate
7,7.2,-0.3,Moderate
1,5.3,-0.17,Low
0,7.4,0.41,Low
6,8.5,0.2,Low
6,8.8,-0.08,Low
7,3.3,-0.85,High
4,5.4,-0.84,Moderate
2,3.6,-1.0,Moderate
7,5.0,0.94,Moderate
5,4.0,-0.99,High
10,6.9,-0.79,High
2,5.3,-0.37,Low
0,4.4,0.61,Low
2,4.6,0.92,Low
4,5.2,0.58,Low
2,4.6,0.38,Low
0,5.7,0.04,Low
4,3.2,-0.83,High
9,4.7,0.92,Moderate
6,5.5,0.52,Moderate
6,6.6,0.28,Moderate
10,4.6,0.52,High
8,3.8,0.45,High
9,3.5,0.27,High
9,8.6,0.96,Low
2,5.5,0.81,Low
6,6.5,0.29,Moderate
0,8.5,0.39,Low
3,3.5,-0.9,High
3,8.3,0.34,Low
4,6.3,-0.91,Moderate
6,4.0,0.18,Moderate
6,5.5,1.0,Low
10,7.7,0.11,Moderate
3,5.9,-0.05,Low
6,8.9,-0.37,Moderate
10,5.3,-0.76,High
2,7.5,0.46,Low
5,5.4,-0.61,Moderate
1,8.0,-0.77,Low
9,6.4,-0.16,High
8,3.4,0.59,High
4,3.2,0.49,Moderate
5,3.8,-0.89,High
3,3.1,-0.09,Moderate
10,3.5,0.04,High
9,7.2,0.29,Moderate
